,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species
0,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2002-09-21,Engelmann Woods,9,2002,21,Daedaleopsis,confragosa
1,Coprinopsis atramentaria,,2002-09-21,Engelmann Woods,9,2002,21,Coprinopsis,atramentaria
2,Galiella rufa,Hairy rubber cup ,2002-09-21,Engelmann Woods,9,2002,21,Galiella,rufa
3,Artomyces pyxidatus,Crown-tipped Coral ,2002-09-21,Engelmann Woods,9,2002,21,Artomyces,pyxidatus
4,Trichaptum biformis,,2002-09-21,Engelmann Woods,9,2002,21,Trichaptum,biformis
5,Calocera cornea,Club-like tuning fork ,2002-09-21,Engelmann Woods,9,2002,21,Calocera,cornea
6,Cortinarius corrugatus,,2002-10-26,Pickle Spring,10,2002,26,Cortinarius,corrugatus
7,Gymnopilus junonius,Spectacular rustgill ,2002-10-26,Pickle Spring,10,2002,26,Gymnopilus,junonius
8,Amanita virosa,European Destroying Angel,2002-10-26,Pickle Spring,10,2002,26,Amanita,virosa
9,Amanita citrina,,2002-10-26,Pickle Spring,10,2002,26,Amanita,citrina
10,Amanita polypyramis,Plateful of Pyramids Lepidella,2002-10-26,Pickle Spring,10,2002,26,Amanita,polypyramis
11,Amanita cokeri,Coker's Lepidella,2002-10-26,Pickle Spring,10,2002,26,Amanita,cokeri
12,Lycoperdon pyriforme,Pear-shaped Puffball ,2002-10-26,Pickle Spring,10,2002,26,Lycoperdon,pyriforme
13,Lepista nuda,Wood blewit ,2002-10-26,Pickle Spring,10,2002,26,Lepista,nuda
14,Armillaria mellea,Honey fungus,2002-10-26,Pickle Spring,10,2002,26,Armillaria,mellea
15,Tricholoma caligatum,,2002-10-26,Pickle Spring,10,2002,26,Tricholoma,caligatum
16,Hericium erinaceus,Bearded tooth ,2002-10-26,Pickle Spring,10,2002,26,Hericium,erinaceus
17,Suillelus brevipes,,2002-10-26,Pickle Spring,10,2002,26,Suillelus,brevipes
18,Suillus cothurnatus,Baggy-veiled Suillus ,2002-10-26,Pickle Spring,10,2002,26,Suillus,cothurnatus
19,Suillus hirtellus,,2002-10-26,Pickle Spring,10,2002,26,Suillus,hirtellus
20,Lenzites elegans,,2002-10-26,Pickle Spring,10,2002,26,Lenzites,elegans
21,Trametes versicolor,Turkeytail ,2002-10-26,Pickle Spring,10,2002,26,Trametes,versicolor
22,Helvella crispa,Elfin saddle ,2002-10-26,Pickle Spring,10,2002,26,Helvella,crispa
23,Tyromyces chioneus,White Cheese Polypore ,2002-10-26,Pickle Spring,10,2002,26,Tyromyces,chioneus
