,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,current_fungi_name,common_name,foray_date,foray_location,month,year,day,genus,species,edibility,foray_zip_code
0,0,0,0,0,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2002-09-21,Engelmann Woods,9,2002,21,Daedaleopsis,confragosa,2,63055
1,1,1,1,1,Coprinopsis atramentaria,,2002-09-21,Engelmann Woods,9,2002,21,Coprinopsis,atramentaria,0,63055
2,2,2,2,2,Galiella rufa,Hairy rubber cup ,2002-09-21,Engelmann Woods,9,2002,21,Galiella,rufa,0,63055
3,3,3,3,3,Artomyces pyxidatus,Crown-tipped Coral ,2002-09-21,Engelmann Woods,9,2002,21,Artomyces,pyxidatus,3,63055
4,4,4,4,4,Trichaptum biformis,,2002-09-21,Engelmann Woods,9,2002,21,Trichaptum,biformis,2,63055
5,5,5,5,5,Calocera cornea,Club-like tuning fork ,2002-09-21,Engelmann Woods,9,2002,21,Calocera,cornea,2,63055
6,6,6,6,6,Cortinarius corrugatus,,2002-10-26,Pickle Spring,10,2002,26,Cortinarius,corrugatus,0,63670
7,7,7,7,7,Gymnopilus junonius,Spectacular rustgill ,2002-10-26,Pickle Spring,10,2002,26,Gymnopilus,junonius,0,63670
8,8,8,8,8,Amanita virosa,European Destroying Angel,2002-10-26,Pickle Spring,10,2002,26,Amanita,virosa,1,63670
9,9,9,9,9,Amanita citrina,,2002-10-26,Pickle Spring,10,2002,26,Amanita,citrina,2,63670
10,10,10,10,10,Amanita polypyramis,Plateful of Pyramids Lepidella,2002-10-26,Pickle Spring,10,2002,26,Amanita,polypyramis,1,63670
11,11,11,11,11,Amanita cokeri,Coker's Lepidella,2002-10-26,Pickle Spring,10,2002,26,Amanita,cokeri,1,63670
12,12,12,12,12,Lycoperdon pyriforme,Pear-shaped Puffball ,2002-10-26,Pickle Spring,10,2002,26,Lycoperdon,pyriforme,3,63670
13,13,13,13,13,Lepista nuda,Wood blewit ,2002-10-26,Pickle Spring,10,2002,26,Lepista,nuda,3,63670
14,14,14,14,14,Armillaria mellea,Honey fungus,2002-10-26,Pickle Spring,10,2002,26,Armillaria,mellea,3,63670
15,15,15,15,15,Tricholoma caligatum,,2002-10-26,Pickle Spring,10,2002,26,Tricholoma,caligatum,3,63670
16,16,16,16,16,Hericium erinaceus,Bearded tooth ,2002-10-26,Pickle Spring,10,2002,26,Hericium,erinaceus,4,63670
17,17,17,17,17,Suillelus brevipes,,2002-10-26,Pickle Spring,10,2002,26,Suillelus,brevipes,3,63670
18,18,18,18,18,Suillus cothurnatus,Baggy-veiled Suillus ,2002-10-26,Pickle Spring,10,2002,26,Suillus,cothurnatus,3,63670
19,19,19,19,19,Suillus hirtellus,,2002-10-26,Pickle Spring,10,2002,26,Suillus,hirtellus,0,63670
20,20,20,20,20,Lenzites elegans,,2002-10-26,Pickle Spring,10,2002,26,Lenzites,elegans,2,63670
21,21,21,21,21,Trametes versicolor,Turkeytail ,2002-10-26,Pickle Spring,10,2002,26,Trametes,versicolor,4,63670
22,22,22,22,22,Helvella crispa,Elfin saddle ,2002-10-26,Pickle Spring,10,2002,26,Helvella,crispa,2,63670
23,23,23,23,23,Tyromyces chioneus,White Cheese Polypore ,2002-10-26,Pickle Spring,10,2002,26,Tyromyces,chioneus,2,63670
24,24,24,24,24,Pluteus cervinus,Deer shield ,2002-10-26,Pickle Spring,10,2002,26,Pluteus,cervinus,0,63670
25,25,25,25,25,Daedaleopsis confragosa var. confragosa,Blushing bracket ,2002-10-26,Pickle Spring,10,2002,26,Daedaleopsis,confragosa,2,63670
26,26,26,26,26,Ganoderma lucidum,,2002-10-26,Pickle Spring,10,2002,26,Ganoderma,lucidum,4,63670
27,27,27,27,27,Panellus stipticus,Bitter oysterling ,2002-10-26,Pickle Spring,10,2002,26,Panellus,stipticus,2,63670
28,28,28,28,28,Pycnoporus sanguineus,Blood red bracket ,2002-10-26,Pickle Spring,10,2002,26,Pycnoporus,sanguineus,2,63670
29,29,29,29,29,Clitocella mundula,,2002-10-26,Pickle Spring,10,2002,26,Clitocella,mundula,0,63670
30,30,30,30,30,Lactarius chrysorrheus,Gold Drop Milk Cap ,2002-10-26,Pickle Spring,10,2002,26,Lactarius,chrysorrheus,1,63670
31,31,31,31,31,Lactarius imperceptus,,2002-10-26,Pickle Spring,10,2002,26,Lactarius,imperceptus,0,63670
32,32,32,32,32,Rhodocollybia butyracea,Butter cap ,2002-10-26,Pickle Spring,10,2002,26,Rhodocollybia,butyracea,3,63670
33,33,33,33,33,Gymnopus dryophilus,Oak-loving Collybia ,2002-10-26,Pickle Spring,10,2002,26,Gymnopus,dryophilus,0,63670
